DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,Threat,Males,Females,No Gender
120817029,11/9/2012,11/9/2012,730,8,West LA,827,888,TRESPASSING,,29,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,11600    GORHAM                       AV,,"(34.0559, -118.4636)",0,0,1,0
111912036,5/12/2011,5/12/2011,630,19,Mission,1984,624,BATTERY - SIMPLE ASSAULT,0416 0417 2000,37,F,B,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,PARTHENIA                    ST,KESTER                       AV,"(34.2282, -118.4575)",1,0,1,0
111819324,10/1/2011,9/30/2011,2000,18,Southeast,1821,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1100 1300 1407,24,M,B,122,"VEHICLE, PASSENGER/TRUCK",106,UNKNOWN FIREARM,IC,Invest Cont,740,,,,700 W  COLDEN                       AV,,"(33.9492, -118.2869)",1,1,0,0
100405233,1/28/2010,1/28/2010,1300,4,Hollenbeck,497,440,THEFT PLAIN - PETTY ($950 & UNDER),344,18,M,H,222,LAUNDROMAT,,,IC,Invest Cont,440,,,,2800 E  OLYMPIC                      AV,,"(34.0234, -118.2177)",0,1,0,0
120812260,7/18/2012,7/7/2012,5,8,West LA,852,354,THEFT OF IDENTITY,1822,28,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600    BROCKTON                     AV,,"(34.0398, -118.4598)",0,0,1,0
121920601,10/7/2012,10/6/2012,2130,19,Mission,1925,624,BATTERY - SIMPLE ASSAULT,416,22,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,14400    HERRON                       ST,,"(34.2971, -118.4467)",1,1,0,0
121604440,1/12/2012,1/11/2012,1530,16,Foothill,1681,850,INDECENT EXPOSURE,1822 1309 1258 0529 0534 1009 1251,13,F,H,101,STREET,,,IC,Invest Cont,850,,,,12400    ROSCOE                       BL,,"(34.2217, -118.4031)",0,0,1,0
121210008,3/26/2012,3/26/2012,1405,12,77th Street,1283,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1822 0342 0302 0326 1309,47,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,753,,,,10300 S  HOBART                       BL,,"(33.9432, -118.3079)",1,1,0,0
131610903,6/22/2013,6/15/2013,1200,16,Foothill,1695,354,THEFT OF IDENTITY,1202,78,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7700    ENSIGN                       AV,,"(34.2103, -118.3715)",0,1,0,0
130124485,11/23/2013,11/20/2013,1500,1,Central,138,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0917 1236 0327,25,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,200    BOYD                         ST,,"(34.0478, -118.2454)",0,0,1,0
110416182,10/29/2011,10/29/2011,2300,4,Hollenbeck,497,900,VIOLATION OF COURT ORDER,0906 1816,,M,W,101,STREET,,,IC,Invest Cont,900,,,,LORENA,OLYMPIC,"(34.0188, -118.2066)",0,1,0,0
111006689,2/25/2011,2/23/2011,1530,10,West Valley,1063,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",344,35,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,341,,,,18500    CLARK                        ST,,"(34.1704, -118.536)",0,0,1,0
111314261,6/11/2011,6/11/2011,220,13,Newton,1307,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0342 0416 1266 1309 2002,35,M,W,203,OTHER BUSINESS,212,BOTTLE,AA,Adult Arrest,230,,,,LEMON                        ST,OLYMPIC                      BL,"(34.0262, -118.2334)",1,1,0,0
121222163,9/20/2012,9/19/2012,2300,12,77th Street,1243,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,24,F,B,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,68TH                         ST,WESTERN                      AV,"(33.9778, -118.309)",0,0,1,0
111216342,6/21/2011,6/20/2011,2345,12,77th Street,1203,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 0913 1202 2002,76,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740,,,,1600 W  45TH                         ST,,"(34.0028, -118.3067)",1,0,1,0
130711527,6/20/2013,6/20/2013,2150,7,Wilshire,764,761,BRANDISH WEAPON,1309 1212 0334 0906,12,M,H,101,STREET,101,REVOLVER,AA,Adult Arrest,761,,,,MEADOWBROOK                  AV,VENICE                       BL,"(34.0451, -118.3515)",1,1,0,0
131226796,12/15/2013,12/14/2013,1020,12,77th Street,1253,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0544 0329 0443 0602 2004 1307,60,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AA,Adult Arrest,930,,,,1600 W  79TH                         ST,,"(33.9673, -118.3046)",1,0,1,0
100109929,4/27/2010,4/23/2010,1700,1,Central,159,330,BURGLARY FROM VEHICLE,344,26,F,W,101,STREET,,,IC,Invest Cont,330,,,,500    MOLINO                       ST,,"(34.0413, -118.2338)",0,0,1,0
120406064,2/18/2012,2/18/2012,50,4,Hollenbeck,457,437,RESISTING ARREST,1212 0416 1816 0906 2002,,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,437,,,,600 N  MOTT                         ST,,"(34.0478, -118.2024)",1,0,1,0
102117023,9/7/2010,9/7/2010,2000,21,Topanga,2139,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,14,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237,,,,20200    COHASSET                     ST,,"(34.2071, -118.5739)",0,1,0,0
112118998,11/8/2011,11/6/2011,2230,21,Topanga,2189,440,THEFT PLAIN - PETTY ($950 & UNDER),344,21,F,H,108,PARKING LOT,,,IC,Invest Cont,440,,,,19700    VENTURA                      BL,,"(34.1726, -118.5622)",0,0,1,0
121920065,9/28/2012,9/25/2012,2000,19,Mission,1954,440,THEFT PLAIN - PETTY ($950 & UNDER),377,34,F,H,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,440,,,,15200    DEVONSHIRE                   ST,,"(34.2573, -118.463)",0,0,1,0
111316821,7/16/2011,7/16/2011,900,13,Newton,1303,946,OTHER MISCELLANEOUS CRIME,1501,10,M,O,101,STREET,,,IC,Invest Cont,946,,,,700 E  12TH                         ST,,"(34.0337, -118.2533)",0,1,0,0
121005299,1/27/2012,1/26/2012,1400,10,West Valley,1045,956,"LETTERS, LEWD",913,39,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,956,,,,5900    YARMOUTH                     AV,,"(34.1777, -118.5196)",0,0,1,0
111505641,2/1/2011,2/1/2011,1445,15,N Hollywood,1517,330,BURGLARY FROM VEHICLE,0344 1307 1609,32,F,H,101,STREET,,,IC,Invest Cont,330,,,,ELMER                        AV,KITTRIDGE                    ST,"(34.1903, -118.3768)",0,0,1,0
111100607,2/28/2011,2/27/2011,1920,11,Northeast,1137,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0411 0416 1402,58,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,230,998,,,5100    MONTE VISTA                  ST,,"(34.1078, -118.2024)",1,1,0,0
131314420,7/9/2013,7/9/2013,2030,13,Newton,1322,437,RESISTING ARREST,1212 0356 0400 0319,,M,H,101,STREET,511,VERBAL THREAT,JA,Juv Arrest,437,,,,25TH                         ST,MAPLE                        AV,"(34.0242, -118.2642)",1,1,0,0
131429097,12/13/2013,10/27/2013,800,14,Pacific,1452,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",344,48,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,5100    VIA DOLCE,,"(33.97, -118.4557)",0,1,0,0
101108835,3/23/2010,3/23/2010,1945,11,Northeast,1162,624,BATTERY - SIMPLE ASSAULT,0400 0417 2001,30,F,A,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1300 N  VERMONT                      AV,,"(34.0956, -118.2918)",1,0,1,0
130618329,7/24/2013,7/22/2013,1800,6,Hollywood,677,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",344,47,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,700 N  VAN NESS                     AV,,"(34.0835, -118.3157)",0,1,0,0
111821769,11/18/2011,11/17/2011,1415,18,Southeast,1837,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0412 2000,37,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AA,Adult Arrest,930,,,,1700 E  104TH                        ST,,"(33.9416, -118.2426)",1,0,1,0
110521045,12/4/2011,12/4/2011,2300,5,Harbor,555,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0913 0329 1813,22,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,745,,,,600 W  ELBERON                      AV,,"(33.7484, -118.2923)",0,1,0,0
100400531,1/12/2010,1/12/2010,1800,4,Hollenbeck,438,237,CHILD NEGLECT (SEE 300 W.I.C.),0554 0913 1251 1258,,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,237,,,,5100    ITHACA                       AV,,"(34.0722, -118.1754)",0,1,0,0
101723211,12/23/2010,12/22/2010,2200,17,Devonshire,1705,330,BURGLARY FROM VEHICLE,0344 1307,18,M,W,101,STREET,,,IC,Invest Cont,330,,,,17100    VAN GOGH                     ST,,"(34.3045, -118.5046)",0,1,0,0
101610430,5/11/2010,5/9/2010,2150,16,Foothill,1695,440,THEFT PLAIN - PETTY ($950 & UNDER),344,20,M,W,401,MINI-MART,,,IC,Invest Cont,440,,,,7600    VINELAND                     AV,,"(34.2085, -118.3703)",0,1,0,0
110218309,10/7/2011,10/7/2011,900,2,Rampart,256,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0319 0329 0340 1822,34,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,1900    WILSHIRE                     BL,,"(34.0569, -118.2736)",0,1,0,0
120807431,3/21/2012,3/21/2012,1900,8,West LA,839,330,BURGLARY FROM VEHICLE,344,50,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,10200    SANTA MONICA                 BL,,"(34.0605, -118.4193)",0,1,0,0
101808182,3/15/2010,3/15/2010,400,18,Southeast,1802,924,TELEPHONE PROPERTY - DAMAGE,0329 2000,44,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,924,,,,300 W  93RD                         ST,,"(33.9519, -118.2784)",0,0,1,0
111914936,6/28/2011,6/28/2011,200,19,Mission,1969,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,13400    OSBORNE                      ST,,"(34.2428, -118.4252)",0,1,0,0
101210389,3/23/2010,3/23/2010,1400,12,77th Street,1242,310,BURGLARY,0321 0342 0344 0352 0380 1202 1606 1822,77,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6300    8TH                          AV,,"(33.983, -118.3265)",0,0,1,0
120209442,4/9/2012,4/9/2012,2100,2,Rampart,265,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1243 0416 1819,45,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,626,,,,700 S  WESTLAKE                     AV,,"(34.0559, -118.2756)",0,0,1,0
110114793,8/5/2011,8/5/2011,650,1,Central,182,624,BATTERY - SIMPLE ASSAULT,0329 0344 0448 2000,31,F,B,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,FLOWER,PICO,"(34.0401, -118.2668)",1,0,1,0
131222091,9/23/2013,9/23/2013,1700,12,77th Street,1241,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0917 1213,29,M,W,101,STREET,,,IC,Invest Cont,420,,,,6000    CRENSHAW                     BL,,"(33.9854, -118.3308)",0,1,0,0
121228525,12/28/2012,12/27/2012,2100,12,77th Street,1255,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1206 0416 1822,19,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,1300 W  74TH                         ST,,"(33.9727, -118.2981)",1,0,1,0
130507894,3/29/2013,3/19/2013,1000,5,Harbor,585,946,OTHER MISCELLANEOUS CRIME,1501,61,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,600 W  23RD                         ST,,"(33.7234, -118.2902)",0,0,1,0
120108293,3/17/2012,3/17/2012,1615,1,Central,153,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,50,M,B,406,OTHER STORE,,,AO,Adult Other,442,,,,500 S  BROADWAY,,"(34.0481, -118.2507)",0,1,0,0
131422223,9/8/2013,9/7/2013,1100,14,Pacific,1437,310,BURGLARY,344,48,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,3500 S  SEPULVEDA                    BL,,"(34.0193, -118.4222)",0,1,0,0
130610468,4/1/2013,3/31/2013,2310,6,Hollywood,636,886,DISTURBING THE PEACE,1501,53,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,886,,,,6700    FRANKLIN                     PL,,"(34.1042, -118.3361)",0,0,1,0
131506751,2/23/2013,2/23/2013,1,15,N Hollywood,1548,220,ATTEMPTED ROBBERY,1300 1313 0400,25,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,11100    WEDDINGTON                   ST,,"(34.167, -118.3724)",1,0,1,0
131511715,5/27/2013,5/27/2013,700,15,N Hollywood,1599,330,BURGLARY FROM VEHICLE,0344 1609 1307,37,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,3400    CAHUENGA                     BL,,"(34.1316, -118.352)",0,0,1,0
101919295,8/16/2010,8/13/2010,1800,19,Mission,1999,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,66,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,7700    ALLOTT                       AV,,"(34.2104, -118.4276)",0,1,0,0
131400581,3/15/2013,3/15/2013,1430,14,Pacific,1454,121,"RAPE, FORCIBLE",1501 1402,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,,,,4300    REDWOOD                      AV,,"(33.9884, -118.4379)",1,0,1,0
101611553,6/2/2010,6/1/2010,1700,16,Foothill,1673,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0311 0329 0903,50,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,11600    PENDLETON                    ST,,"(34.2303, -118.3843)",0,1,0,0
131507642,3/11/2013,3/8/2013,1700,15,N Hollywood,1555,330,BURGLARY FROM VEHICLE,0344 0352 1601,48,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5100    BAKMAN                       AV,,"(34.163, -118.3774)",0,0,1,0
112013418,6/18/2011,6/18/2011,1200,20,Olympic,2025,310,BURGLARY,0342 1221 0344 0352 1202 1606 0346,67,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,400    MARIPOSA                     AV,,"(34.0672, -118.2992)",0,1,0,0
100611895,4/22/2010,4/22/2010,1140,6,Hollywood,656,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1606,59,M,O,717,HEALTH SPA/GYM,,,IC,Invest Cont,341,,,,1000    COLE                         AV,,"(34.0889, -118.3299)",0,1,0,0
130611171,4/10/2013,3/24/2013,1900,6,Hollywood,635,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",329,33,F,W,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,740,,,,1900    GRACE                        AV,,"(34.1053, -118.3321)",1,0,1,0
101617351,9/15/2010,9/14/2010,2330,16,Foothill,1676,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,29,F,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,8500    GLENOAKS                     BL,,"(34.2249, -118.3617)",0,0,1,0
131719171,11/24/2013,11/23/2013,1915,17,Devonshire,1707,310,BURGLARY,0344 1609 0321,50,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,17300    WESTBURY                     DR,,"(34.2982, -118.5105)",0,0,1,0
121104685,1/15/2012,1/13/2012,2100,11,Northeast,1171,330,BURGLARY FROM VEHICLE,1601 1608 1609,27,M,W,101,STREET,,,IC,Invest Cont,330,,,,1100    SANBORN                      AV,,"(34.0924, -118.2804)",0,1,0,0
110321868,10/4/2011,10/4/2011,1130,3,Southwest,363,624,BATTERY - SIMPLE ASSAULT,0400 0444 2000,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,4100    PALMYRA                      RD,,"(34.0149, -118.3436)",1,0,1,0
121522553,11/25/2012,11/16/2012,1400,15,N Hollywood,1505,210,ROBBERY,1259 0355 0342 0432 0344 1223 0345 0340,17,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,7400    KRAFT                        AV,,"(34.2048, -118.3801)",1,1,0,0
101112712,5/20/2010,5/20/2010,1700,11,Northeast,1117,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421,59,F,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,2000    YOSEMITE                     DR,,"(34.1343, -118.211)",1,0,1,0
101222380,8/26/2010,8/25/2010,1530,12,77th Street,1204,956,"LETTERS, LEWD",913,20,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1400 W  46TH                         ST,,"(34.0019, -118.3002)",0,0,1,0
120809200,5/4/2012,5/3/2012,1530,8,West LA,892,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202 1307 1300,61,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,2400    PURDUE                       AV,,"(34.034, -118.4404)",0,0,1,0
121517491,8/30/2012,8/30/2012,2300,15,N Hollywood,1596,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,39,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,VENTURA                      BL,VINELAND                     AV,"(34.1405, -118.3702)",0,1,0,0
102110581,5/2/2010,5/2/2010,2130,21,Topanga,2138,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0432 0552 1258,12,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627,,,,OSO                          AV,SATICOY                      ST,"(34.2083, -118.5754)",1,1,0,0
110519747,11/6/2011,11/6/2011,345,5,Harbor,528,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1202 2000,63,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,1100    PIONEER                      AV,,"(33.7851, -118.248)",0,1,0,0
100322244,9/19/2010,9/19/2010,1215,3,Southwest,399,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 1312 1310 1309 2000,33,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,FLOWER                       ST,VERNON                       AV,"(34.0038, -118.2816)",1,0,1,0
111814632,7/5/2011,7/2/2011,1030,18,Southeast,1824,310,BURGLARY,0344 0358 1601,49,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,9400    CLOVIS                       AV,,"(33.9511, -118.2565)",0,1,0,0
100906149,2/9/2010,2/9/2010,1800,9,Van Nuys,904,320,"BURGLARY, ATTEMPTED",1402 1501,57,M,W,501,SINGLE FAMILY DWELLING,,,JA,Juv Arrest,320,,,,15100    RUNNYMEDE                    ST,,"(34.2057, -118.4618)",0,1,0,0
110719260,12/20/2011,12/20/2011,930,7,Wilshire,784,210,ROBBERY,0344 0416 0420 0542 0400,50,M,W,503,HOTEL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,5000 W  WASHINGTON                   BL,,"(34.0406, -118.3486)",1,1,0,0
131204750,1/11/2013,1/11/2013,1500,12,77th Street,1258,900,VIOLATION OF COURT ORDER,2000,48,M,H,726,POLICE FACILITY,,,IC,Invest Cont,900,,,,7600 S  BROADWAY,,"(33.9708, -118.2783)",0,1,0,0
120612995,5/1/2012,5/1/2012,1830,6,Hollywood,643,624,BATTERY - SIMPLE ASSAULT,,23,F,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7200 W  SUNSET                       BL,,"(34.098, -118.3469)",1,0,1,0
111300863,12/27/2011,12/27/2011,2225,13,Newton,1363,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0444 1241,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,5000    AVALON                       BL,,"(33.9976, -118.2652)",1,0,1,0
100604651,1/9/2010,1/9/2010,255,6,Hollywood,646,237,CHILD NEGLECT (SEE 300 W.I.C.),1257,,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,237,,,,1500    SCHRADER                     BL,,"(34.098, -118.3324)",0,1,0,0
102015458,6/25/2010,6/8/2010,130,20,Olympic,2055,310,BURGLARY,0344 0358 1210 1605,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1100 S  MARIPOSA                     AV,,"(34.0509, -118.2989)",0,0,1,0
112011390,5/12/2011,5/12/2011,1605,20,Olympic,2024,237,CHILD NEGLECT (SEE 300 W.I.C.),0913 1240 1310 0553 1251 1258 1309 2002,10,M,H,704,ELEMENTARY SCHOOL,,,AO,Adult Other,237,,,,600 S  HARVARD                      BL,,"(34.0636, -118.3041)",0,1,0,0
121004219,1/6/2012,1/4/2012,1930,10,West Valley,1033,624,BATTERY - SIMPLE ASSAULT,0429 0416,46,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,CALVERT,YOLANDA,"(34.1819, -118.5404)",1,1,0,0
120817191,11/13/2012,11/12/2012,1145,8,West LA,855,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1300 0329,61,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,10900    SANTA MONICA                 BL,,"(34.0507, -118.4345)",0,1,0,0
